Customer_ID,Reseller,Test_set_id
0xEBA40863A972E2E1B2D579D1B1CD74F9F2784B144214276548AE9B0432DD034F,0,NA
0x42D1F183BD3ADFD8E7FC3005694FB1D8DA4028E6B020ED2CFD3C07A0D59C2855,0,NA
0x81B4565938C209532732CB6F09A1285A606837CE42B2CCEB039032CE84752994,0,NA
0x91E88221726827AE4A331B8C5DB703EBF2DC4C0DC66081D6EB8A6BC728727E25,0,NA
0xA2E082DE557CB06BB70E90730CB58BDF408A5A51D1FFD502A16DB2BCFCC36A48,0,NA
0x30CD618A1C3B9CE769744E4A7F163E6684BEC199F8DE591226942D801A74B1EF,0,NA
0xE8CB045119D385BA39110D315869DAFE2BDC2A43CDA04DA0C352EC151AB594A7,0,NA
0xF72413A6305021CF1E95CA226B373B36E45240ABB0E84E0E6016672E5B7CFA28,0,NA
0x0D9308FD6A4D4D273E0E9BEEFF0833719A4F1BC237681CC38510329277C7ACC2,0,NA
0x46FA0A0899923D8E6FE8CAF369ADDC479AA7C3EEEEC5FB58C5A4F8C122FED37C,0,NA
0x9A208CC2D20277611D1E8EE55FDB5A11CBEC69E206C1C0F5949344EDAD0BE55B,NA,11
0x07556149C1E509738A0A6FE7D31346452BAD9C0DF37D94DDDC8E6AB52586713A,0,NA
0x65BBCDAF060A952355CB88C391855F1A246EC27BA40CC6C05294EC5DC581FD89,0,NA
0x0551930C36A0EC57869785D5175F371B9A99C3678BD6C73361A040CA9FC93E9F,NA,14
0x98FD001D8BFD239326484D332423015ADFE040CC083E4F5149B7C8C27BCC11A3,0,NA
0x5112E78E83A39791ED7D6B54638BE6FB8C938C3B3D3E720ECF4AC940AC98A846,0,NA
0xFA69B4C9439A29094FFDDF578B6A2B76C97E8A2E5F0EAA817FF4D8E90D28A50C,NA,17
0xC3D81C4AF494DAD22BA62782B79B9EA60563D20BB7588110EF0CDFA9B6CAC94A,0,NA
0x4B0A7A3C32224B67F61A8AFDD1508BAA9203FBE37634F64307DD0180DF0A9D51,0,NA
0x04CFA7B2DA9F6843771EDE9569DC00D10583C13467AF61E5D42B6E0FC7452A8D,0,NA
0x44F6FCC1EB6E3A238C2412A42B5C522AA724C8504174620057E72AAD6AEA2D32,0,NA
0xD726281D34CE8D4DBC88B3498102F0F4920A4069FA98FB51129832030C54F454,0,NA
0x3E8402A17A89A191CBDABA10453BCC786ED666881C8E9109E19BA66FEEEA8F71,0,NA
0x808CBED146D64C12BA401959F6ED855A344CAF562BF7EEBD8FA6F970FDFBDA73,NA,24
0x519277E9B1C951A10E3C688949F69A00C623ADC26AADD09B392379A0EF021ADC,0,NA
0x1CAFB9EAF3DA0492989044E971EAE153A40DE4C53B0E847872411AFAC8079398,0,NA
